class_col,class_value,pos_4gram,freq,rank
Town,Bacalar,"('DET', 'NOUN', 'ADP', 'DET')",120,4
Town,Bacalar,"('NOUN', 'PUNCT', 'DET', 'NOUN')",117,5
Town,Bacalar,"('ADP', 'DET', 'NOUN', 'ADP')",112,6
Town,Bacalar,"('DET', 'NOUN', 'AUX', 'ADJ')",107,7
Town,Bacalar,"('VERB', 'ADP', 'DET', 'NOUN')",101,8
Town,Bacalar,"('PUNCT', 'DET', 'NOUN', 'AUX')",89,9
Town,Bacalar,"('ADJ', 'PUNCT', 'DET', 'NOUN')",82,10
Town,Bacalar,"('ADJ', 'ADP', 'DET', 'NOUN')",78,11
Town,Bacalar,"('DET', 'NOUN', 'PUNCT', 'DET')",75,12
Town,Bacalar,"('DET', 'NOUN', 'PRON', 'VERB')",71,13
Town,Bacalar,"('VERB', 'DET', 'NOUN', 'ADP')",69,14
Town,Bacalar,"('NOUN', 'AUX', 'ADJ', 'PUNCT')",69,15
Town,Bacalar,"('NOUN', 'ADP', 'NOUN', 'PUNCT')",62,16
Town,Bacalar,"('PRON', 'VERB', 'DET', 'NOUN')",59,17
Town,Bacalar,"('PUNCT', 'DET', 'NOUN', 'ADP')",59,18
Town,Bacalar,"('DET', 'NOUN', 'AUX', 'ADV')",57,19
Town,Bacalar,"('DET', 'NOUN', 'ADV', 'ADJ')",54,20
Town,Bernal,"('NOUN', 'ADP', 'DET', 'NOUN')",45,1
Town,Bernal,"('DET', 'NOUN', 'AUX', 'ADJ')",33,2
Town,Bernal,"('VERB', 'DET', 'NOUN', 'ADP')",29,3
Town,Bernal,"('ADP', 'DET', 'NOUN', 'ADP')",29,4
Town,Bernal,"('DET', 'NOUN', 'ADP', 'DET')",29,5
Town,Bernal,"('DET', 'NOUN', 'ADP', 'NOUN')",28,6
Town,Bernal,"('ADP', 'DET', 'NOUN', 'PUNCT')",27,7
Town,Bernal,"('VERB', 'ADP', 'DET', 'NOUN')",26,8
Town,Bernal,"('PUNCT', 'DET', 'NOUN', 'AUX')",23,9
Town,Bernal,"('ADJ', 'PUNCT', 'DET', 'NOUN')",22,10
Town,Bernal,"('NOUN', 'AUX', 'ADJ', 'PUNCT')",22,11
Town,Bernal,"('NOUN', 'ADP', 'NOUN', 'PUNCT')",20,12
Town,Bernal,"('NOUN', 'PUNCT', 'DET', 'NOUN')",19,13
Town,Bernal,"('PRON', 'VERB', 'DET', 'NOUN')",19,14
Town,Bernal,"('PRON', 'VERB', 'ADP', 'DET')",15,15
Town,Bernal,"('NOUN', 'CCONJ', 'DET', 'NOUN')",14,16
Town,Bernal,"('VERB', 'DET', 'NOUN', 'PUNCT')",14,17
Town,Bernal,"('VERB', 'DET', 'NOUN', 'CCONJ')",13,18
Town,Bernal,"('PUNCT', 'SPACE', 'DET', 'NOUN')",13,19
Town,Bernal,"('NOUN', 'AUX', 'ADJ', 'CCONJ')",13,20
Town,Chiapa_de_Corzo,"('DET', 'NOUN', 'ADP', 'NOUN')",38,1
Town,Chiapa_de_Corzo,"('NOUN', 'ADP', 'DET', 'NOUN')",32,2
Town,Chiapa_de_Corzo,"('ADP', 'DET', 'NOUN', 'ADP')",28,3
Town,Chiapa_de_Corzo,"('VERB', 'ADP', 'DET', 'NOUN')",22,4
Town,Chiapa_de_Corzo,"('ADP', 'DET', 'NOUN', 'PUNCT')",19,5
Town,Chiapa_de_Corzo,"('DET', 'NOUN', 'ADP', 'DET')",19,6
Town,Chiapa_de_Corzo,"('NOUN', 'PUNCT', 'DET', 'NOUN')",19,7
Town,Chiapa_de_Corzo,"('VERB', 'DET', 'NOUN', 'ADP')",19,8
Town,Chiapa_de_Corzo,"('NOUN', 'ADP', 'NOUN', 'PUNCT')",16,9
Town,Chiapa_de_Corzo,"('PRON', 'VERB', 'DET', 'NOUN')",14,10
Town,Chiapa_de_Corzo,"('ADJ', 'PUNCT', 'DET', 'NOUN')",13,11
Town,Chiapa_de_Corzo,"('NOUN', 'ADP', 'NOUN', 'ADP')",13,12
Town,Chiapa_de_Corzo,"('DET', 'NOUN', 'AUX', 'ADJ')",12,13
Town,Chiapa_de_Corzo,"('PUNCT', 'DET', 'NOUN', 'ADP')",12,14
Town,Chiapa_de_Corzo,"('ADP', 'NOUN', 'ADP', 'NOUN')",11,15
Town,Chiapa_de_Corzo,"('PUNCT', 'DET', 'NOUN', 'AUX')",11,16
Town,Chiapa_de_Corzo,"('VERB', 'DET', 'NOUN', 'PUNCT')",11,17
Town,Chiapa_de_Corzo,"('ADP', 'NOUN', 'ADP', 'DET')",10,18
Town,Chiapa_de_Corzo,"('DET', 'NOUN', 'PUNCT', 'DET')",10,19
Town,Chiapa_de_Corzo,"('ADP', 'DET', 'NOUN', 'ADJ')",10,20
Town,Cholula,"('NOUN', 'ADP', 'DET', 'NOUN')",57,1
Town,Cholula,"('ADP', 'DET', 'NOUN', 'ADP')",49,2
Town,Cholula,"('DET', 'NOUN', 'ADP', 'NOUN')",46,3
Town,Cholula,"('DET', 'NOUN', 'ADP', 'DET')",46,4
Town,Cholula,"('VERB', 'DET', 'NOUN', 'ADP')",40,5
Town,Cholula,"('ADP', 'DET', 'NOUN', 'PUNCT')",38,6
Town,Cholula,"('PRON', 'VERB', 'DET', 'NOUN')",30,7
Town,Cholula,"('VERB', 'ADP', 'DET', 'NOUN')",28,8
Town,Cholula,"('ADJ', 'ADP', 'DET', 'NOUN')",26,9
Town,Cholula,"('DET', 'NOUN', 'ADJ', 'PUNCT')",25,10
Town,Cholula,"('NOUN', 'ADP', 'NOUN', 'PUNCT')",21,11
Town,Cholula,"('DET', 'NOUN', 'PRON', 'VERB')",19,12
Town,Cholula,"('ADP', 'VERB', 'DET', 'NOUN')",18,13
Town,Cholula,"('NOUN', 'ADP', 'NOUN', 'ADP')",18,14
Town,Cholula,"('DET', 'NOUN', 'AUX', 'ADJ')",17,15
Town,Cholula,"('ADP', 'DET', 'NOUN', 'ADJ')",17,16
Town,Cholula,"('PUNCT', 'DET', 'NOUN', 'ADP')",17,17
Town,Cholula,"('VERB', 'DET', 'NOUN', 'PUNCT')",17,18
Town,Cholula,"('NOUN', 'ADP', 'NOUN', 'CCONJ')",16,19
Town,Cholula,"('VERB', 'DET', 'NOUN', 'ADJ')",16,20
Town,Coatepec,"('VERB', 'ADP', 'DET', 'NOUN')",12,1
Town,Coatepec,"('ADP', 'DET', 'NOUN', 'PUNCT')",9,2
Town,Coatepec,"('NOUN', 'ADP', 'DET', 'NOUN')",8,3
Town,Coatepec,"('DET', 'NOUN', 'ADP', 'DET')",7,4
Town,Coatepec,"('NOUN', 'ADP', 'NOUN', 'PUNCT')",7,5
Town,Coatepec,"('DET', 'NOUN', 'ADP', 'NOUN')",7,6
Town,Coatepec,"('DET', 'NOUN', 'ADV', 'ADJ')",6,7
Town,Coatepec,"('DET', 'NOUN', 'AUX', 'ADJ')",6,8
Town,Coatepec,"('ADP', 'DET', 'NOUN', 'ADP')",6,9
Town,Coatepec,"('NOUN', 'ADV', 'ADJ', 'PUNCT')",6,10
Town,Coatepec,"('ADJ', 'PUNCT', 'DET', 'NOUN')",5,11
Town,Coatepec,"('PUNCT', 'DET', 'NOUN', 'ADP')",5,12
Town,Coatepec,"('NOUN', 'ADP', 'NOUN', 'CCONJ')",5,13
Town,Coatepec,"('DET', 'NOUN', 'ADJ', 'PUNCT')",4,14
Town,Coatepec,"('NOUN', 'PUNCT', 'NOUN', 'PUNCT')",4,15
Town,Coatepec,"('PUNCT', 'NOUN', 'PUNCT', 'NOUN')",4,16
Town,Coatepec,"('DET', 'NOUN', 'PRON', 'VERB')",4,17
Town,Coatepec,"('PUNCT', 'NOUN', 'CCONJ', 'NOUN')",4,18
Town,Coatepec,"('NOUN', 'PRON', 'PRON', 'VERB')",4,19
Town,Coatepec,"('NOUN', 'ADP', 'NOUN', 'ADP')",4,20
Town,Creel,"('NOUN', 'ADP', 'DET', 'NOUN')",54,1
Town,Creel,"('ADP', 'DET', 'NOUN', 'PUNCT')",40,2
Town,Creel,"('ADP', 'DET', 'NOUN', 'ADP')",36,3
Town,Creel,"('DET', 'NOUN', 'ADP', 'DET')",34,4
Town,Creel,"('DET', 'NOUN', 'ADP', 'NOUN')",30,5
Town,Creel,"('VERB', 'ADP', 'DET', 'NOUN')",28,6
Town,Creel,"('VERB', 'DET', 'NOUN', 'ADP')",23,7
Town,Creel,"('NOUN', 'PUNCT', 'DET', 'NOUN')",20,8
Town,Creel,"('DET', 'NOUN', 'AUX', 'ADJ')",17,9
Town,Creel,"('DET', 'NOUN', 'PRON', 'VERB')",16,10
Town,Creel,"('NOUN', 'ADP', 'NOUN', 'PUNCT')",15,11
Town,Creel,"('DET', 'NOUN', 'ADJ', 'PUNCT')",15,12
Town,Creel,"('ADJ', 'ADP', 'DET', 'NOUN')",15,13
Town,Creel,"('PRON', 'VERB', 'ADP', 'DET')",15,14
Town,Creel,"('ADJ', 'PUNCT', 'DET', 'NOUN')",14,15
Town,Creel,"('ADP', 'NOUN', 'ADP', 'DET')",14,16
Town,Creel,"('PUNCT', 'DET', 'NOUN', 'AUX')",14,17
Town,Creel,"('ADP', 'DET', 'NOUN', 'CCONJ')",13,18
Town,Creel,"('NOUN', 'ADP', 'NOUN', 'ADP')",13,19
Town,Creel,"('VERB', 'DET', 'NOUN', 'PUNCT')",12,20
Town,Cuatro_Cienegas,"('VERB', 'ADP', 'DET', 'NOUN')",20,1
Town,Cuatro_Cienegas,"('DET', 'NOUN', 'ADP', 'DET')",19,2
Town,Cuatro_Cienegas,"('NOUN', 'ADP', 'DET', 'NOUN')",19,3
Town,Cuatro_Cienegas,"('ADP', 'DET', 'NOUN', 'PUNCT')",15,4
Town,Cuatro_Cienegas,"('PRON', 'VERB', 'ADP', 'DET')",13,5
Town,Cuatro_Cienegas,"('ADP', 'DET', 'NOUN', 'ADP')",13,6
Town,Cuatro_Cienegas,"('NOUN', 'ADP', 'NOUN', 'PUNCT')",12,7
Town,Cuatro_Cienegas,"('DET', 'NOUN', 'ADP', 'NOUN')",11,8
Town,Cuatro_Cienegas,"('DET', 'NOUN', 'ADV', 'ADJ')",8,9
Town,Cuatro_Cienegas,"('NOUN', 'PUNCT', 'DET', 'NOUN')",7,10
Town,Cuatro_Cienegas,"('ADP', 'DET', 'NOUN', 'ADJ')",7,11
Town,Cuatro_Cienegas,"('VERB', 'DET', 'NOUN', 'ADP')",7,12
Town,Cuatro_Cienegas,"('VERB', 'DET', 'NOUN', 'PUNCT')",7,13
Town,Cuatro_Cienegas,"('ADP', 'DET', 'NOUN', 'PRON')",6,14
Town,Cuatro_Cienegas,"('AUX', 'DET', 'NOUN', 'ADP')",6,15
Town,Cuatro_Cienegas,"('DET', 'NOUN', 'ADP', 'VERB')",6,16
Town,Cuatro_Cienegas,"('PUNCT', 'VERB', 'DET', 'NOUN')",6,17
Town,Cuatro_Cienegas,"('DET', 'NOUN', 'ADJ', 'ADP')",6,18
Town,Cuatro_Cienegas,"('ADJ', 'ADP', 'DET', 'NOUN')",6,19
Town,Cuatro_Cienegas,"('DET', 'NOUN', 'PUNCT', 'AUX')",6,20
Town,Cuetzalan,"('NOUN', 'ADP', 'DET', 'NOUN')",27,1
Town,Cuetzalan,"('ADP', 'DET', 'NOUN', 'PUNCT')",21,2
Town,Cuetzalan,"('DET', 'NOUN', 'ADP', 'NOUN')",19,3
Town,Cuetzalan,"('PUNCT', 'DET', 'NOUN', 'AUX')",18,4
Town,Cuetzalan,"('DET', 'NOUN', 'ADP', 'DET')",17,5
Town,Cuetzalan,"('DET', 'NOUN', 'AUX', 'ADJ')",15,6
Town,Cuetzalan,"('VERB', 'ADP', 'DET', 'NOUN')",12,7
Town,Cuetzalan,"('ADP', 'DET', 'NOUN', 'ADP')",12,8
Town,Cuetzalan,"('ADJ', 'PUNCT', 'DET', 'NOUN')",12,9
Town,Cuetzalan,"('NOUN', 'PUNCT', 'DET', 'NOUN')",11,10
Town,Cuetzalan,"('VERB', 'DET', 'NOUN', 'ADP')",11,11
Town,Cuetzalan,"('DET', 'NOUN', 'PRON', 'VERB')",9,12
Town,Cuetzalan,"('DET', 'NOUN', 'AUX', 'ADV')",9,13
Town,Cuetzalan,"('NOUN', 'AUX', 'ADJ', 'PUNCT')",8,14
Town,Cuetzalan,"('NOUN', 'AUX', 'ADV', 'ADJ')",8,15
Town,Cuetzalan,"('PROPN', 'PUNCT', 'DET', 'NOUN')",8,16
Town,Cuetzalan,"('AUX', 'ADV', 'ADJ', 'PUNCT')",7,17
Town,Cuetzalan,"('NOUN', 'CCONJ', 'DET', 'NOUN')",7,18
Town,Cuetzalan,"('DET', 'NOUN', 'ADJ', 'PUNCT')",7,19
Town,Cuetzalan,"('PUNCT', 'DET', 'NOUN', 'ADP')",7,20
Town,Dolores_Hidalgo,"('NOUN', 'ADP', 'DET', 'NOUN')",26,1
Town,Dolores_Hidalgo,"('DET', 'NOUN', 'ADP', 'NOUN')",22,2
Town,Dolores_Hidalgo,"('DET', 'NOUN', 'ADP', 'DET')",20,3
Town,Dolores_Hidalgo,"('NOUN', 'PUNCT', 'DET', 'NOUN')",20,4
Town,Dolores_Hidalgo,"('ADP', 'DET', 'NOUN', 'PUNCT')",17,5
Town,Dolores_Hidalgo,"('ADP', 'DET', 'NOUN', 'ADP')",14,6
Town,Dolores_Hidalgo,"('VERB', 'DET', 'NOUN', 'ADP')",13,7
Town,Dolores_Hidalgo,"('NOUN', 'ADP', 'NOUN', 'PUNCT')",12,8
Town,Dolores_Hidalgo,"('PRON', 'VERB', 'DET', 'NOUN')",12,9
Town,Dolores_Hidalgo,"('DET', 'NOUN', 'PUNCT', 'DET')",11,10
Town,Dolores_Hidalgo,"('VERB', 'ADP', 'DET', 'NOUN')",11,11
Town,Dolores_Hidalgo,"('DET', 'NOUN', 'PRON', 'VERB')",10,12
Town,Dolores_Hidalgo,"('DET', 'ADJ', 'NOUN', 'ADP')",9,13
Town,Dolores_Hidalgo,"('VERB', 'DET', 'NOUN', 'ADJ')",9,14
Town,Dolores_Hidalgo,"('DET', 'NOUN', 'AUX', 'ADJ')",9,15
Town,Dolores_Hidalgo,"('ADJ', 'ADP', 'DET', 'NOUN')",8,16
Town,Dolores_Hidalgo,"('ADP', 'DET', 'NOUN', 'PRON')",8,17
Town,Dolores_Hidalgo,"('NOUN', 'ADP', 'NOUN', 'CCONJ')",8,18
Town,Dolores_Hidalgo,"('ADV', 'VERB', 'DET', 'NOUN')",7,19
Town,Dolores_Hidalgo,"('DET', 'NOUN', 'ADJ', 'ADP')",7,20
Town,Huasca_de_Ocampo,"('NOUN', 'ADP', 'DET', 'NOUN')",43,1
Town,Huasca_de_Ocampo,"('DET', 'NOUN', 'ADP', 'NOUN')",39,2
Town,Huasca_de_Ocampo,"('VERB', 'DET', 'NOUN', 'ADP')",28,3
Town,Huasca_de_Ocampo,"('ADP', 'DET', 'NOUN', 'PUNCT')",27,4
Town,Huasca_de_Ocampo,"('VERB', 'ADP', 'DET', 'NOUN')",26,5
Town,Huasca_de_Ocampo,"('ADP', 'DET', 'NOUN', 'ADP')",23,6
Town,Huasca_de_Ocampo,"('DET', 'NOUN', 'ADP', 'DET')",21,7
Town,Huasca_de_Ocampo,"('NOUN', 'ADP', 'NOUN', 'PUNCT')",20,8
Town,Huasca_de_Ocampo,"('ADJ', 'PUNCT', 'DET', 'NOUN')",19,9
Town,Huasca_de_Ocampo,"('NOUN', 'ADP', 'NOUN', 'ADP')",19,10
Town,Huasca_de_Ocampo,"('DET', 'NOUN', 'ADV', 'ADJ')",18,11
Town,Huasca_de_Ocampo,"('VERB', 'DET', 'NOUN', 'PUNCT')",16,12
Town,Huasca_de_Ocampo,"('ADJ', 'ADP', 'DET', 'NOUN')",16,13
Town,Huasca_de_Ocampo,"('NOUN', 'AUX', 'ADV', 'ADJ')",15,14
Town,Huasca_de_Ocampo,"('NOUN', 'PUNCT', 'DET', 'NOUN')",15,15
Town,Huasca_de_Ocampo,"('AUX', 'ADV', 'ADJ', 'PUNCT')",15,16
Town,Huasca_de_Ocampo,"('DET', 'NOUN', 'AUX', 'ADJ')",15,17
Town,Huasca_de_Ocampo,"('PUNCT', 'DET', 'NOUN', 'ADP')",14,18
Town,Huasca_de_Ocampo,"('PRON', 'VERB', 'DET', 'NOUN')",14,19
Town,Huasca_de_Ocampo,"('ADP', 'NOUN', 'ADP', 'DET')",14,20
Town,Isla_Mujeres,"('NOUN', 'ADP', 'DET', 'NOUN')",838,1
Town,Isla_Mujeres,"('ADP', 'DET', 'NOUN', 'PUNCT')",785,2
Town,Isla_Mujeres,"('DET', 'NOUN', 'ADP', 'NOUN')",665,3
Town,Isla_Mujeres,"('ADP', 'DET', 'NOUN', 'ADP')",587,4
Town,Isla_Mujeres,"('DET', 'NOUN', 'ADP', 'DET')",549,5
Town,Isla_Mujeres,"('VERB', 'ADP', 'DET', 'NOUN')",524,6
Town,Isla_Mujeres,"('NOUN', 'PUNCT', 'DET', 'NOUN')",495,7
Town,Isla_Mujeres,"('PUNCT', 'DET', 'NOUN', 'AUX')",428,8
Town,Isla_Mujeres,"('DET', 'NOUN', 'AUX', 'ADJ')",412,9
Town,Isla_Mujeres,"('VERB', 'DET', 'NOUN', 'ADP')",380,10
Town,Isla_Mujeres,"('NOUN', 'ADP', 'NOUN', 'PUNCT')",365,11
Town,Isla_Mujeres,"('ADJ', 'ADP', 'DET', 'NOUN')",332,12
Town,Isla_Mujeres,"('ADJ', 'PUNCT', 'DET', 'NOUN')",321,13
Town,Isla_Mujeres,"('DET', 'NOUN', 'PUNCT', 'DET')",279,14
Town,Isla_Mujeres,"('NOUN', 'AUX', 'ADJ', 'PUNCT')",268,15
Town,Isla_Mujeres,"('VERB', 'DET', 'NOUN', 'PUNCT')",245,16
Town,Isla_Mujeres,"('NOUN', 'ADP', 'NOUN', 'ADP')",244,17
Town,Isla_Mujeres,"('DET', 'NOUN', 'AUX', 'ADV')",235,18
Town,Isla_Mujeres,"('PRON', 'VERB', 'DET', 'NOUN')",225,19
Town,Isla_Mujeres,"('ADP', 'DET', 'NOUN', 'ADJ')",224,20
Town,Ixtapan_de_la_Sal,"('DET', 'NOUN', 'ADP', 'NOUN')",67,1
Town,Ixtapan_de_la_Sal,"('NOUN', 'ADP', 'DET', 'NOUN')",64,2
Town,Ixtapan_de_la_Sal,"('ADP', 'DET', 'NOUN', 'PUNCT')",51,3
Town,Ixtapan_de_la_Sal,"('DET', 'NOUN', 'ADP', 'DET')",50,4
Town,Ixtapan_de_la_Sal,"('VERB', 'ADP', 'DET', 'NOUN')",41,5
Town,Ixtapan_de_la_Sal,"('ADP', 'DET', 'NOUN', 'ADP')",40,6
Town,Ixtapan_de_la_Sal,"('NOUN', 'PUNCT', 'DET', 'NOUN')",40,7
Town,Ixtapan_de_la_Sal,"('ADJ', 'PUNCT', 'DET', 'NOUN')",35,8
Town,Ixtapan_de_la_Sal,"('NOUN', 'ADP', 'NOUN', 'PUNCT')",34,9
Town,Ixtapan_de_la_Sal,"('VERB', 'DET', 'NOUN', 'ADP')",33,10
Town,Ixtapan_de_la_Sal,"('PUNCT', 'DET', 'NOUN', 'ADP')",31,11
Town,Ixtapan_de_la_Sal,"('ADJ', 'ADP', 'DET', 'NOUN')",29,12
Town,Ixtapan_de_la_Sal,"('DET', 'NOUN', 'PUNCT', 'DET')",27,13
Town,Ixtapan_de_la_Sal,"('DET', 'NOUN', 'AUX', 'ADJ')",26,14
Town,Ixtapan_de_la_Sal,"('DET', 'NOUN', 'PRON', 'VERB')",25,15
Town,Ixtapan_de_la_Sal,"('PUNCT', 'DET', 'NOUN', 'AUX')",24,16
Town,Ixtapan_de_la_Sal,"('NOUN', 'ADP', 'NOUN', 'CCONJ')",24,17
Town,Ixtapan_de_la_Sal,"('ADP', 'NOUN', 'ADP', 'NOUN')",22,18
Town,Ixtapan_de_la_Sal,"('VERB', 'DET', 'NOUN', 'PUNCT')",21,19
Town,Ixtapan_de_la_Sal,"('DET', 'NOUN', 'ADV', 'ADJ')",21,20
Town,Izamal,"('NOUN', 'ADP', 'DET', 'NOUN')",43,1
Town,Izamal,"('ADP', 'DET', 'NOUN', 'PUNCT')",40,2
Town,Izamal,"('VERB', 'ADP', 'DET', 'NOUN')",34,3
Town,Izamal,"('NOUN', 'PUNCT', 'DET', 'NOUN')",32,4
Town,Izamal,"('DET', 'NOUN', 'ADP', 'NOUN')",28,5
Town,Izamal,"('ADP', 'DET', 'NOUN', 'ADP')",27,6
Town,Izamal,"('DET', 'NOUN', 'ADP', 'DET')",26,7
Town,Izamal,"('DET', 'NOUN', 'AUX', 'ADJ')",24,8
Town,Izamal,"('ADP', 'DET', 'NOUN', 'ADJ')",22,9
Town,Izamal,"('ADJ', 'PUNCT', 'DET', 'NOUN')",21,10
Town,Izamal,"('DET', 'NOUN', 'AUX', 'ADV')",21,11
Town,Izamal,"('ADJ', 'ADP', 'DET', 'NOUN')",21,12
Town,Izamal,"('PUNCT', 'DET', 'NOUN', 'AUX')",20,13
Town,Izamal,"('NOUN', 'AUX', 'ADV', 'ADJ')",18,14
Town,Izamal,"('DET', 'NOUN', 'PUNCT', 'DET')",17,15
Town,Izamal,"('DET', 'NOUN', 'ADJ', 'ADP')",16,16
Town,Izamal,"('NOUN', 'ADP', 'NOUN', 'PUNCT')",16,17
Town,Izamal,"('DET', 'NOUN', 'ADJ', 'PUNCT')",16,18
Town,Izamal,"('PUNCT', 'DET', 'NOUN', 'ADP')",16,19
Town,Izamal,"('CCONJ', 'DET', 'NOUN', 'AUX')",14,20
Town,Loreto,"('NOUN', 'ADP', 'DET', 'NOUN')",135,1
Town,Loreto,"('ADP', 'DET', 'NOUN', 'PUNCT')",108,2
Town,Loreto,"('DET', 'NOUN', 'ADP', 'NOUN')",90,3
Town,Loreto,"('DET', 'NOUN', 'ADP', 'DET')",86,4
Town,Loreto,"('ADP', 'DET', 'NOUN', 'ADP')",81,5
Town,Loreto,"('PUNCT', 'DET', 'NOUN', 'AUX')",54,6
Town,Loreto,"('VERB', 'ADP', 'DET', 'NOUN')",53,7
Town,Loreto,"('ADJ', 'PUNCT', 'DET', 'NOUN')",53,8
Town,Loreto,"('NOUN', 'PUNCT', 'DET', 'NOUN')",52,9
Town,Loreto,"('DET', 'NOUN', 'ADJ', 'PUNCT')",50,10
Town,Loreto,"('PROPN', 'PROPN', 'PROPN', 'PROPN')",49,11
Town,Loreto,"('NOUN', 'ADP', 'NOUN', 'ADP')",48,12
Town,Loreto,"('DET', 'NOUN', 'AUX', 'ADJ')",48,13
Town,Loreto,"('NOUN', 'ADP', 'NOUN', 'PUNCT')",42,14
Town,Loreto,"('ADP', 'DET', 'NOUN', 'ADJ')",42,15
Town,Loreto,"('VERB', 'DET', 'NOUN', 'PUNCT')",42,16
Town,Loreto,"('VERB', 'DET', 'NOUN', 'ADP')",42,17
Town,Loreto,"('ADJ', 'ADP', 'DET', 'NOUN')",37,18
Town,Loreto,"('PUNCT', 'DET', 'NOUN', 'ADP')",36,19
Town,Loreto,"('ADP', 'NOUN', 'ADP', 'DET')",35,20
Town,Malinalco,"('NOUN', 'ADP', 'DET', 'NOUN')",17,1
Town,Malinalco,"('VERB', 'ADP', 'DET', 'NOUN')",12,2
Town,Malinalco,"('DET', 'NOUN', 'ADP', 'NOUN')",12,3
Town,Malinalco,"('ADP', 'DET', 'NOUN', 'PUNCT')",11,4
Town,Malinalco,"('ADJ', 'PUNCT', 'DET', 'NOUN')",11,5
Town,Malinalco,"('ADP', 'DET', 'NOUN', 'ADP')",11,6
Town,Malinalco,"('DET', 'NOUN', 'ADJ', 'PUNCT')",10,7
Town,Malinalco,"('NOUN', 'PUNCT', 'DET', 'NOUN')",9,8
Town,Malinalco,"('PUNCT', 'DET', 'NOUN', 'AUX')",8,9
Town,Malinalco,"('DET', 'NOUN', 'AUX', 'ADV')",8,10
Town,Malinalco,"('VERB', 'DET', 'NOUN', 'ADJ')",8,11
Town,Malinalco,"('DET', 'NOUN', 'AUX', 'ADJ')",7,12
Town,Malinalco,"('DET', 'NOUN', 'ADP', 'DET')",7,13
Town,Malinalco,"('ADP', 'DET', 'NOUN', 'ADJ')",6,14
Town,Malinalco,"('PUNCT', 'VERB', 'DET', 'NOUN')",6,15
Town,Malinalco,"('NOUN', 'AUX', 'ADJ', 'PUNCT')",6,16
